"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Cycling","Bike","","","","2022-02-20","","14086.1796875","","","","","1.71111106872559","2.28699994087219","","","","111","172","","","0.642837090805385","79.39","44","17","17","9","13","3","0","","","","","","","","","","","","","","4","7"
"Reco Day","Day Off","In the pro cycling world Monday is considered the 'international day of rest'. Your body will be working hard nearly every other day of the week with bike and 'off bike' life. 1 day/ week to allow the body to rebuild, recoup from the stress that has been placed on it increases the effectiveness of the training. Also can be refreshing for the mind and motivation to allow yourself at least 1day/week away from the bike.","","","2022-02-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"CORE strength ON the bike.","Bike","This is an interesting one. Can keep both feet clipped in for the whole ride this time. But something different thrown in there, an old trick from the Australian Institute of Sport, it's simple but VERY effective. For the 2 minute working efforts this time you are allowed to touch the handlebars with your FINGERTIPS ONLY. This engages your core/ stabilising muscles, you'll feel it! Be cogniscent of your upper body, you want to try to keep relatively still in these efforts, no swaying side to side. Imagine there is a spirit level across your shoulder blades. Focus your energy to your core & legs, that's where the bike wants it! I used to find these very satisfying and an easy way to engage more of the body than just the legs which is very important for getting as much power into those pedals as possible..","1","","2022-02-22","15min: increasing intensity warm up. You should have some sweat dripping down by the end of this and have the Heart Rate pumping so you feel like you're about ready to smash some efforts. 25min: 5x 2min 7/10- 3min 2/10. ALL 7RPE efforts must be FINGERTIPS ONLY touching the handlebars. 10min: 7RPE, this is a good way to make the most of this workout, after those fingertip efforts you should be tired but find 10min of power to push through and sweat it out to the warm down. Put as much gas down as you like here.. Feel that core a little more engaged! 10min: warm down 2/10. Keep the cadence nice and high in the cool down (90+rpm)..","24718.990234375","","",""," *22/02/2022 Matthew Roberts: I was genuinely pedallig at 4 RPE but my HR was much higher than I expected based on leg feel.  I suppose engaging the extra muscles does that?  Wasn't able to hold my form for teh 10 min interval.  Kept to fingertips but was sitting up, resting on a leg, etc.* *22/02/2022 Matthew Roberts: A wet quarter sessions rd is not long enough for a 10 min effort!  I only got an hour between storms, so it was the best I could do.* *24/02/2022 Justin Morris: Glad you got out mate. Hats off to ya for braving the elements. The high HR can result from a number of things: - the novelty of an effort - humidity - freshness - coming down with a virus.. So think it likely the first 3 of those for you. Kind of good to know the legs were only at 4RPE. Means your strength is good. Just the cardio that will help from here. Anyway, first session done. Nice work Matt!*","1.03416669368744","6.6399998664856","","79","","138","180","","","0.737358785098931","62.34","7","12","15","6","6","8","9","","","","","","","","","","","","","","8","5"
"SPIN to WIN!","Bike","This could be done outside on a flat road. A cadence counter will be a big benefit here this measures how fast your pedals spin around (in RPM). If you do not have one of these feel the sensation of spinning those legs in the easiest gear possible.. This is the sensation you want to aim for in most of this workout. A fast, consistent cadence (leg speed) is a crucial key to unlocking power, efficiency and form on the bike. Have a look at a professional cyclist in a race. Not the speed of the legs turning around it is fast, not so much grinding but spinning! When you spin as opposed to 'grind' the pedals you sustain the energy in your muscles for longer and you end up getting more power into the pedals. A high cadence also activates more of your cardio system so you are getting a very comprehensive fitness/ weight loss workout. Grinding a hard gear you activate the strength/ aerobic system which would be similar to going to the gym and doing leg press/ squats. Note the higher leg speed in the working sections, this should help spike your heart rate and ensure not only a good development of form/ style but also a full gas cardio workout! SPIN to WIN!!","1","","2022-02-23","10min: Z1- 4/10 Perceived Rate of Exhaustion. 15min: Z2- 7/10 PRE 10min: Z1- 5/10 15min: Z2- 7/10 little harder than first effort. 10min: Z1- 4/10 cool down.","27160.4296875","","",""," *23/02/2022 Matthew Roberts: Spinning is not my forte!  Right knee (which sometimes give me grief) was not happy on first interval but better on second.  I think it was my poor form, which did improve.  It genuinely takes all my brain power to keep a high cadence.  Changing gears every second because any up or down slope puts you out of the range.  beyond 105rpm and I can't keep good form.  I cannot spin fast without some pressure on the pedals either.  If I want to keep spinning easily on a down slope when the bike is speeding up, my pedal stroke goes super lumpy and it feels terrible.  Still, got it done.* *24/02/2022 Justin Morris: Yeah, thats normal when doing this outside. Your feedback there is pretty normal for outside spinning on lumpy terrain. Rest assured you will still get benefit from it. Good to teach yourself to spin the legs even on the downhills too. It may feel clunky etc but it is still serving a purpose in flushing lactic out of the legs.*","1.02555561065674","7.35699987411499","","98","","145","177","","","0.730077469045891","60.59","0","2","19","13","18","8","1","","","","","","","","","","","","","","7","5"
"Building Blocks","Bike","This is what we use to grow extend threshold, burn fat and increase cardio capacity. It may seem boring but play some music/ podcast from your ipod or whatever. This stuff is BOSS. What turns you into a cyclist.. Aim for the RPE/ data numbers. But CADENCE is important if you have a cadence counter aim for an average of 90 or above.. If not just spin those legs as fast as you can.. Most importantly in the recovery periods as this is what flushes the toxins out of those legs muscles and helps them to recover so they are ready to smash the pedals again!","1.75","","2022-02-24","These long efforts are the gospel of high performance cycling, this is ensuring your 'base' is nice and strong, this is your foundation for building strength and speed upon. Without a nice, solid BASE nothing else is sustained.","45178.140625","","",""," *24/02/2022 Matthew Roberts: had to manually adjust since I forgot to stop the wahoo when I got home.  Struggled to keep up the effort on the final interval, legs just wouldn't push.  Quads full of fatigue.  Spent too much brain power trying to keep the cadence up and didn't hit the efforts as close as I would like.* *24/02/2022 Justin Morris: Bit of carry over from yesterdays one. Pretty glad you were able to get out all 3days so far this week Matt. The duration is one of the biggest benefits in this one, soon will have some precise HR zones for you. looking at this you did pretty good though, can see the dip in final effort but covered some good ground!*","1.67055559158325","2.94013670603931","","84","","138","173","","","0.556012147534775","151.58","159","13","23","21","28","11","0","","","","","","","","","","","","","","","9"
"3 opener pre race prep","Bike","Do this outside, blow out the cobwebs for a solid race tomorrow. Just an easy ride with 3x 1min blasts.","1.38333333333333","","2022-02-26","Reco ride with openers.","","","",""," *05/03/2022 Matthew Roberts: too much rain*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feet UP","Other","Lie on your back with butt slammed up against wall and legs vertcal. Old school trick to encourage recovery in legs. A must during tours, helps in hard training too.. Pushes 'bad toxins' out of legs.. Remain for 1-3min.","0.05","","2022-02-26","","","","","","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"90min HARD on MTB","MTB","Can be MTB ON ROAD if the trails are sodden. Just want you to prepare for going hard in this position. Saving for the first and last 10min, keep HR 145bpm+. So about a 7.5/10 and above.","1.5","","2022-02-27","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7"
"Cycling","Bike","","","","2022-02-27","","32252.80078125","","","","","1.72027778625488","5.20800018310547","","79","","130","172","","","0.678924393779102","89.04","29","12","12","23","25","2","0","","","","","","","","","","","","","","","7"
"Reco","Day Off","","","","2022-02-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Flat Foot strength","Bike","This may seem counter intuitive after the 'Spin to win' fest. But today we are slowing that RPM right down to emphasise the importance of the position of your foot in the pedal action. Note in those 6minute 'working' sectors the cadence range is slowed right down to 50-60. I want you pushing a hard gear and being cognisant of that 'sccoping' motion through the pedal stroke. Imagine you are taking a spoonful of neopolitan and the sole of your shoe is the spoon. During this entire pedal stroke focus on keeping the sole of that foot PARALLEL to the floor during the whole motion. The flatter that foot is the more power goes into those pedals.. Again channel all that energy from the mind, forehead, neck, shoulders... ALL the way down your body and into those pedals. This will activate your strength system which is important especially for hill climbing and sprinting. Note the RPM numbers and keep that foot flat! Another habit we are trying to create with this workout.","1.08333333333333","","2022-03-01","The 6 min 10/10 sections I just want you seated in the drops pushing HARD gear as possible with cadence only 60rpm!","25355.4296875","","",""," *02/03/2022 Matthew Roberts: This type of thing is right up my alley.  No problems grinding a low gear and form seemed OK from the start (as far as I can tell)* *03/03/2022 Justin Morris: Good man, yep gathered you'd like these ones after our chat. These translate into increase in climbing power. So be good to keep a good rhythm of these going, they not the type of effort where you notice quick big gains. More of a gradual development but takes you high in the power output/ endurance. generally a 10-12 week consistent use of these style efforts really lifts a rider.*","1.11972224712372","6.28999996185303","","80","","132","170","","","0.667117176431515","55.36","5","13","21","16","9","2","0","","","","","","","","","","","","","","7","3"
"Home Trainer 1 Leg Session !","Bike","This is designed to SMOOTH out your pedalling motion. It is very, very effective but also quite challenging! Set up a chair or something to prop your non working leg on next to the trainer. The main priority in this is to be SMOOTH! No stress about heart rate or power or anything else. Smooth, like you are buttering toast with peanut butter and the bottom of your foot is the knife. I don't want you to stress about numbers per se. The 9 & 6 RPE on the workout builder are just to indicate when the 1 leg sessions are (9=1 leg, 6+2 legs). NO power, NO HR really required The 1 minute between each 1 leg sector allows a bit of recovery (clip both legs back in for this 1 min). Then that 10min working session toward the end both legs in and I want you to note if you feel any different sensations in your pedal stroke after doing the 1 leggers Another KEY building block for a cyclist, this is FORM and STYLE on the bike - this is what allows you to push more power through the pedals when we dial this in.","1","","2022-03-02","This will give you 4x1 min Left leg and 4x 1min Right leg. Nice and even!","21401.73046875","","",""," *02/03/2022 Matthew Roberts: Ouch!.  My thighs did not like that.  I could feel that in my thighs way before any other part of me was working hard.  Found a better spot for my resting leg eventually that made things a bit better but that was tough.* *03/03/2022 Justin Morris: Hard to back these up from yesterday as similar targets. Often overlooked the fluidity of the pedal stroke but really helps lift ya.*","1.06777775287628","5.56799983978271","","82","","118","164","","","0.632641145650792","47.42","28","14","13","4","6","0","0","","","","","","","","","","","","","","5","7"
"COLD shower","Other","Last 30seconds of your shower needs to be COLD!!","","","2022-03-02","This is old school but has sooo many benefits both mentally and physically. It gives the body a short taste of hot/cold treatment which the AIS uses for muscle recovery after hard sessions. It also helps the immune system, symapthetic and parasympathetic nervous system. Most importantly though it introduces another just small element of pain tolerance into the day..","","","",""," *05/03/2022 Matthew Roberts: not fun*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trainer- FOCUS training","Bike","After getting the blood pumping for 10min or so, I want you to engage the mind in turning those pedals...- Do this by COUNTING EACH PEDAL STROKE! See how high of a number you can get. If your mind wanders and you lose count... Start again!! 1 rotation of the pedals= 1 count! Continue for 10mins then 5min break where mind can wander again, then 10mins ON with the counting again. The RPE denotes 'mental power' in this session as opposed to leg power..","1","","2022-03-03","The idea of this is to FOCUS 100% of your thinking power to turning the pedals. The rationale is that if your mind is not fully engaged you cannot be giving your full potential of energy to the practice. COMPLETELY PRESENT!! The counting is the most straightforward way to train the mind toward 100% focus on what you are doing.. No thinking about work, no thinking about whats for brekkie, no thinking about the future or the past- JUST turning the pedals. Somewhat like meditation!","23848.470703125","","",""," *03/03/2022 Matthew Roberts: Thighs still sore from yesterday but they loosened up. Still constant rain here. 955 was the highest I counted to ;)*","1.0011111497879","6.61700010299683","","88","","131","173","","","0.645787498716961","46.25","2","3","40","6","7","2","0","","","","","","","","","","","","","","5","5"
"Reco","Day Off","","","","2022-03-04","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1"
"Brew ride/ Active recovery MTB OR Road bike","MTB","Good day to get on the bike still but without the stress/ structure of a working session. Important to turn the legs over today but no need to smash any efforts or drills. Aim to keep leg speed (cadence) HIGH and heart rate LOW.","1.5","","2022-03-05","Great opportunity for a friendly coffee shop ride.","36850.80078125","","",""," *05/03/2022 Matthew Roberts: legs felt stiff when I got up this morning, but felt fine on the ride.* *05/03/2022 Matthew Roberts: spinning at 90rpm+ never feels easy, so I don't normally do that on a recovery ride, but it seemed to work out just fine.*","1.62888884544373","6.28399991989136","","87","","120","159","","","0.607747753812728","67.47","26","19","43","8","2","0","0","","","","","","","","","","","","","","1","1"
"'buddhism efforts'","Bike","This best done outside on road bike. The idea is to train your mind to be 100% IN THE MOMENT of the effort you are doing.. Squeeze, the most out of the effort you can. The key is to eliminate thoughts before they get into your mind during the effort. Here we want JUST REACTIONS NO thinking!! COMPLETELY IN the effort physically and mentally.. These longer efforts around 7-8RPE are again working on that base load and pushing your threshold higher. Hitting that 8RPE puts you into the 'hurt bag' here you are suffering, not able to talk at all.. Pushes the body and brain further into being present.","2","","2022-03-06","I like these as helps remind us of where we are in this moment, in this point of time!! Can be very beneficial for cycling and for life!","57018","","",""," *06/03/2022 Matthew Roberts: Had to hide from the rain half way through. 2 hours without a downpour is too much to ask it seems. Spun my legs much faster in the efforts and that helped keep them up as I got tired.* *07/03/2022 Justin Morris: Awesome grit being shown riding in the rain Matt. Another good session which would have been hard today after the week you have put out. HR still beating well which is good to know after a hard week. Quick adaptation!*","2.57194447517395","6.15799999237061","","89","","139","180","","","0.720004842084481","151.23","21","17","44","16","19","25","12","","","","","","","","","","","","","","9","1"
"Easy ride/ commute","MTB","Hopefully the rain has stopped. Just pedalling today, no structure/ no worries. 60-90min. MTB OR Roadie","1","","2022-03-07","","","","",""," *07/03/2022 Matthew Roberts: pissing down rain again and I am over it now so this one will be skipped.  Also could not sleep at all due to ""fidgity"" feeling in my legs last night - been a pretty big week and so I got no motivation to fight the weather anyway.* *07/03/2022 Justin Morris: That fidgety leg feeling often an indicator of fatigue and using muscles you haven't used before. So a good sign you are doing it properly so far :-). Smart to miss the session today. You have to listen to the body sometimes and not just drive it into the ground especially when sleep is compromised, something we can't measure so well.*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy ride/ commute","MTB","Hopefully the rain has stopped. Just pedalling today, no structure/ no worries. 60-90min. MTB OR Roadie","1","","2022-03-08","","","","",""," *09/03/2022 Matthew Roberts: probably the absolute worst day of rain.  Couldn't even use the trainer since the carport was flooded.* *10/03/2022 Justin Morris: Yuck. It is what it is. Hope thats the end of it now.*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reco","Day Off","","","","2022-03-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FTHR test","Bike","Wear HR strap.The aim of this is to help ascertain some of the important HR values required from your power/HR data. This is called your 'functional threshold' test. It gives us a number that indicates how hard you can go for approximately an hour. Suggestion: Hornsby side Bobbin Head or any hill that goes for 20min or has flat over the top rather than a descent. Pony club could be good too if you keep pushing over toward the school and then up Bellamy until you hit the 20min mark.","0.908333333333333","","2022-03-09","I would suggest a long, flat road with 0 traffic lights/ distractions. Pay attention to the 3 high leg speed warm up drills prior to the effort, these are important to get the mosyt out of this effort. The effort will 20mins FLAT OUT! Imagine you are doing a time trial, focus your attention, your energy, your thoughts on the effort. This will encourage you to look inside your feeling a little and help you appreicate how hard you can actually go and how much pain you can actually deal with!","21738.8203125","","",""," *10/03/2022 Justin Morris: GREAT work mate! Solid number for the home trainer too. A solid 20min blast was awesome. Now we have some HR data to work with :-)!! Will get even more exciting :-).*","0.941944420337677","6.41099977493286","","86","","140","185","","","0.765824834409717","61.11","5","12","16","3","2","5","14","","","","","","","","","","","","","","","1"
"Commute home","Bike","","0.75","","2022-03-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OUT of the saddle efforts","Bike","This is especially important if racing is ever on your radar. learning to SPRINT full gas on the bike and get as much power/ purpose into those pedals as possible. Those 30second efforts with only 30seconds recovery afterward are going to HURT! This is where you learn how that pain cave feels.. After this you'll know you can survive in that pain cave and know you can hop in there again when need be. When sprinting out of the saddle keeping that upper body steady becomes even more important. Remember you're not in a rodeo on the back of a bucking bronco here. You want to get as much power into those pedals as you can.. From everything you've learnt already, steady upper body, flat feet, deep composed breathing, high cadence these drills are just smacking all of that learning and packaging into only 30seconds.","1.25","","2022-03-10","FULL GAS sprints, you want be in the drops for the sprints to maximise aerodynamics, on the hoods for reco to open up the shoulders and get more air in.","30249.33984375","","",""," *10/03/2022 Matthew Roberts: First round I was all over the place. Much better form in the second round but maybe I could have gone harder.* *10/03/2022 Justin Morris: Form is important on these ones. Good to refine, this will become a bigger part of your plan a bit further down the track. They are much more efficient after having built a good block of strength foundation.*","1.37333333492279","6.11800003051758","","79","","129","177","","","0.667200978933575","68.26","16","18","26","5","9","8","1","","","","","","","","","","","","","","7","3"
"Commute home","Bike","","0.75","","2022-03-10","","8425.419921875","","","","","0.397222220897675","5.89200019836426","","80","","116","157","","","0.612819074449598","16.15","9","6","7","1","0","0","0","","","","","","","","","","","","","","2","1"
"Active recovery commute","Bike","Just easy today.","1.5","","2022-03-11","","24423.779296875","","",""," *11/03/2022 Matthew Roberts: Sunday’s race cancelled.*","1.71694445610046","3.95099997520447","","81","","117","159","","","0.620943862895564","74.33","39","15","34","14","2","0","0","","","","","","","","","","","","","","","1"
"Reco","Day Off","","","","2022-03-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feet UP","Other","Lie on your back with butt slammed up against wall and legs vertcal. Old school trick to encourage recovery in legs. A must during tours, helps in hard training too.. Pushes 'bad toxins' out of legs.. Remain for 1-3min.","0.05","","2022-03-12","","","","","","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pre Race breathing tips","Other","4 seconds: breathe in through nose 4 seconds: hold breath 4 seconds: long breath out through mouth","","","2022-03-13","The idea of this is it lowers your heart rate; especially important in any scenario that is anxiety enducing, nerve wracking. Enables more clarity of thought and free's up more calories to be used as power to the pedals rather than worry calories..","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"urban xc","Bike","yellomundee probably still under water - race cancelled so I did some urban xc laps at race-pace","","","2022-03-13","","35774.19140625","","",""," *12/03/2022 Matthew Roberts: Not firing on all cylinders.* *14/03/2022 Justin Morris: Perfect compromise and nice work with another solid week. Now we have some more accurate HR data those numbers at the top have a bit more relevance. The yellow number 'TSB' indicates how 'race ready' you are. Best to aim for close to 0. So at -12 after today is an indication you have gotten what you should have out of the week.*","1.60333335399628","6.19799995422363","","84","","143","176","","","0.771686706690192","107.02","10","6","15","19","34","11","1","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2022-03-14","","25225.279296875","","","","","1.00611114501953","6.96400022506714","","84","","123","156","","","0.631446645559898","44.45","10","14","27","7","2","0","0","","","","","","","","","","","","","","","1"
"Easy ride post dinner","MTB","Hopefully the rain has stopped. Just pedalling today, no structure/ no worries. 60-90min. MTB OR Roadie","1","","2022-03-15","","18985.279296875","","","","","1.05305552482605","5.00799989700317","","80","","118","164","","","0.632393293647101","46.71","22","10","21","7","3","0","0","","","","","","","","","","","","","","",""
"This good on the trainer- so maybe move to a wet day- Form, Strength & Cardio!","Bike","This will be a full on session. The 1 leg is probably the most important part. Focus on being SMOOTH with your leg. Imagine you are scooping ice cream with your foot, pushing down AND pulling up making an effort to focus on form. SMOOTHness is what we are training here and streength. Try to have just a small snack (banana or something) before the session, eat every 30min during (bar/gel) and then have breakfast within 20min of finishing a good high carb/ protein meal. This is an awesome workout! I am excited even writing it. This is a good one!","1.11666666666667","","2022-03-16","-: Z1 warm up. 10min: Z2 build the power and HR up so you are sweating and reaching a moderate level of discomfort. -: 1min ON, 3 min OFF. *KEY part*- The 1 minute WORKING portion has to be done with 1 LEG ONLY. Alternate on each working session. So you will have Left leg effort, right leg effort, left, right the 3min easy in between is both legs clipped in easy pedalling. Your cadence will drop significantly which is ok. FOCUS on form! Each set will get smoother! Main thing here is form, try to keep power and HR high, but focus on being smooth is more important. Be cogniscent of 'pedalling with the heel'. 10min: Z2, back to going steady hard session building up sweat. -: Repeat previous 4 sets of 1 leg efforts. 15min: Z1 cool down, chill. Ready for a day in the office:-).","23273.029296875","","",""," *16/03/2022 Matthew Roberts: Wet day so I moved this forward. Overalll felt easy but my thighs almost packed it in towards the end of the last few one legged intervals* *17/03/2022 Justin Morris: Good to hear, that means you were doing em properly :-). Such good strength workout, really cool to see you backing up on Thursday with the breathing session too.*","1.13833332061768","5.67899990081787","","88","","128","168","","","0.661694052230617","55.39","6","20","20","17","5","0","0","","","","","","","","","","","","","","","5"
"Lollipop Efforts","Bike","You will need a bag of Chupa Chups for this one! Breathing is the basis of performance in sport and indeed the basis of life. Getting it under control unlocks power/ energy that can contribute to your performance. The default habit when your HR is working is to suck in air via open mouth breathing. To begin to incorporate the passages of the nose will create a new habit that lends itself to increased performance. Breathing in through the nose generally gets a deeper breath than via the mouth also. Complete the warm up as per normal then at the 18-20min mark put the lollipop in the mouth and complete all extra efforts with the chupa chup in the mouth! An old school breath training technique that works! Be patient with it, try to let frustration pass over you during this. You are strong, like porcelain! 100% FOCUS on your effort with most of that focus being on your breath!","1.4","","2022-03-17","Have a spare lollipop or 3 on hand for when the first one runs out. Can be outside OR trainer.","39159.94140625","","",""," *17/03/2022 Matthew Roberts: I was very apprehensive when I saw the profile (ramp at the end?) but I felt really good. Hard work but went well. Breathing was no problem at all.* *17/03/2022 Justin Morris: Nice work Matt!! Yeah, the main thing with this one is the breathing focus, the ramp effort is hard enough without the lollipop focus. Glad to hear you found it ok. You must have a strong diaphragm!!*","1.43333327770233","7.58900022506714","","88","","142","180","","","0.767511966536526","94.38","6","11","22","13","20","11","4","","","","","","","","","","","","","","9","1"
"Reco","Day Off","","","","2022-03-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bath","Other","Warm bath utilising minerals/salts this helps blood flow/ muscle repair. Very beneficial when doing back to back hard days.","","","2022-03-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3 opener pre race prep","Bike","Do this outside, blow out the cobwebs for a solid race tomorrow. MTB or roadie","1.21666666666667","","2022-03-19","Reco ride with openers.","","","",""," *19/03/2022 Matthew Roberts: I've been a little under the weather all week and the lurgee eventually got the better of me last night.  Out of action today and will skip the race tomorrow.  It's up at singleton instead of Awaba anyway.  Was really keen to ride the singleton trails, but that will have to wait for another day.  My family has been sick for a week, so no idea how long this might last.* *21/03/2022 Justin Morris: Ah bummer, no doubt the omicron has invaded? Seems to be downing majority of my Sydney clients at moment.. Keep me posted.*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9"
"Feet UP","Other","Lie on your back with butt slammed up against wall and legs vertcal. Old school trick to encourage recovery in legs. A must during tours, helps in hard training too.. Pushes 'bad toxins' out of legs.. Remain for 1-3min.","0.05","","2022-03-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy ride post dinner","MTB","Hopefully the rain has stopped. Just pedalling today, no structure/ no worries. 60-90min. MTB OR Roadie","1","","2022-03-21","","26899.94921875","","",""," *21/03/2022 Matthew Roberts: Got suckered into chasing a pr - twice!  Luckily the gos lost my spot half way.* *21/03/2022 Justin Morris: Looks like bounced back pretty quick. Somerville road good option for these rides.*","1.1066666841507","6.7519998550415","","88","","135","182","","","0.736290829119933","66.63","5","12","27","6","6","6","5","","","","","","","","","","","","","","5","3"
"Reco","Day Off","","","","2022-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"Strength Endurance- 1 hand","Bike","Could do this on Norman Ave in Normanhurst.. Steady gradient. HARD gear and low cadence, this is building up your strength endurance. So ability of the muscles to keep dumping out big power for extended periods of time. During those 6min efforts. Alternate hand on the bar and hand behind back. So 1 hand behind back and 1 hand on bar for 30s then swap hands for the whole 6min. This switches on the core aswell as the leg muscles.","1","","2022-03-23","The 6 min 8/10 sections I just want you seated in the drops pushing HARD gear as possible with cadence only 60rpm!","21891.0703125","","",""," *26/03/2022 Matthew Roberts: That was tougher than I expected.  I missed the instruction about being in the drops, so i did it on the hoods I am afraid.  The Wahoo shows the workout summary but not comments.  I'll try and remember to check them.* *28/03/2022 Justin Morris: Good man, hope you felt the switch on in the obliques. The hands in drops encourages the use of the glutes a little more.*","1.00166666507721","6.07100009918213","","83","","138","171","","","0.726517783583947","58.57","2","10","21","6","15","5","0","","","","","","","","","","","","","","8","3"
